"h_a","xG","xGA","npxG","npxGA","ppda","ppda_allowed","deep","deep_allowed","scored","missed","xpts","result","date","wins","draws","loses","pts","npxGD","league","season","teams"
"a",1.09285,0.166889,1.09285,0.166889,7.80952380952381,23.4705882352941,8,0,1,1,2.1977,"d","2024-11-25 17:00:00",0,1,0,1,0.925961,"Serie_A","2024","Udinese"
"h",0.156386,1.7171,0.156386,1.7171,17.5294117647059,7.26470588235294,4,6,0,2,0.2057,"l","2024-12-01 11:30:00",0,0,1,0,-1.560714,"Serie_A","2024","Udinese"
"a",1.40496,1.92222,1.40496,1.92222,17.3125,5.74074074074074,5,12,2,1,1.0336,"w","2024-12-09 19:45:00",1,0,0,3,-0.51726,"Serie_A","2024","Udinese"
"h",1.48544,1.96425,0.594396,1.96425,15.8,5.90909090909091,0,6,1,3,1.0338,"l","2024-12-14 17:00:00",0,0,1,0,-1.369854,"Serie_A","2024","Udinese"
"a",0.858846,1.55716,0.858846,0.795858,13.75,19.25,8,8,2,1,0.7567,"w","2024-12-23 17:30:00",1,0,0,3,0.062988,"Serie_A","2024","Udinese"
"h",1.23954,0.603591,1.23954,0.603591,11.5416666666667,17.5,2,6,2,2,1.9602,"d","2024-12-29 11:30:00",0,1,0,1,0.635949,"Serie_A","2024","Udinese"
"a",0.655965,0.745287,0.655965,0.745287,5.88461538461539,9.80769230769231,6,5,0,0,1.228,"d","2025-01-04 19:45:00",0,1,0,1,-0.089322,"Serie_A","2024","Udinese"
"h",2.05217,0.233045,2.05217,0.233045,14.8,8.17241379310345,3,4,0,0,2.7708,"d","2025-01-11 14:00:00",0,1,0,1,1.819125,"Serie_A","2024","Udinese"
"a",0.847427,1.81904,0.847427,1.81904,6.91891891891892,13.4444444444444,1,3,1,4,0.497,"l","2025-01-20 19:45:00",0,0,1,0,-0.971613,"Serie_A","2024","Udinese"
"h",0.805147,2.6168,0.805147,1.0942,13.5454545454545,15.2352941176471,2,4,1,2,0.2459,"l","2025-01-26 14:00:00",0,0,1,0,-0.289053,"Serie_A","2024","Udinese"
"h",0.940092,1.36255,0.940092,1.36255,5.03333333333333,6.85185185185185,3,3,3,2,0.9893,"w","2025-02-01 14:00:00",1,0,0,3,-0.422458,"Serie_A","2024","Udinese"
"a",1.28733,2.07882,1.28733,2.07882,33.6,12.8571428571429,5,6,1,1,0.7841,"d","2025-02-09 19:45:00",0,1,0,1,-0.79149,"Serie_A","2024","Udinese"
"h",2.90516,2.47474,2.90516,2.47474,7.23076923076923,9.06666666666667,10,5,3,0,1.677,"w","2025-02-16 14:00:00",1,0,0,3,0.43042,"Serie_A","2024","Udinese"
"a",1.52436,0.484479,0.763058,0.484479,9.31818181818182,8.62068965517241,4,9,1,0,2.358,"w","2025-02-21 19:45:00",1,0,0,3,0.278579,"Serie_A","2024","Udinese"
"h",2.0589,0.617812,1.2976,0.617812,16.5454545454545,50,5,2,1,0,2.4529,"w","2025-03-01 19:45:00",1,0,0,3,0.679788,"Serie_A","2024","Udinese"
"a",1.23859,1.01458,1.23859,1.01458,21.9166666666667,19.1333333333333,3,4,1,1,1.5493,"d","2025-03-10 19:45:00",0,1,0,1,0.22401,"Serie_A","2024","Udinese"
"h",0.318009,0.542985,0.318009,0.542985,5.45833333333333,14.3809523809524,5,3,0,1,0.9651,"l","2025-03-15 14:00:00",0,0,1,0,-0.224976,"Serie_A","2024","Udinese"
"a",1.3398,2.33787,1.3398,2.33787,19.3888888888889,13.7333333333333,0,12,1,2,0.6612,"l","2025-03-30 17:00:00",0,0,1,0,-0.99807,"Serie_A","2024","Udinese"
"a",1.11114,1.65486,1.11114,1.65486,9.89285714285714,8.0625,5,5,0,1,0.9312,"l","2025-04-04 18:45:00",0,0,1,0,-0.54372,"Serie_A","2024","Udinese"
"h",0.644579,2.49634,0.644579,2.49634,12.6315789473684,31.2222222222222,5,4,0,4,0.2182,"l","2025-04-11 18:45:00",0,0,1,0,-1.851761,"Serie_A","2024","Udinese"
"a",0.949917,0.949162,0.949917,0.949162,9.22727272727273,13.5263157894737,8,4,0,2,1.2995,"l","2025-04-23 16:30:00",0,0,1,0,0.000755000000000061,"Serie_A","2024","Udinese"
"h",0.387188,1.17741,0.387188,1.17741,13.9047619047619,7.125,0,2,0,0,0.5795,"d","2025-04-28 16:30:00",0,1,0,1,-0.790222,"Serie_A","2024","Udinese"
"a",1.92066,0.954534,1.92066,0.954534,13.3684210526316,14.1875,10,2,2,1,2.1779,"w","2025-05-03 13:00:00",1,0,0,3,0.966126,"Serie_A","2024","Udinese"
"h",1.45767,1.63169,1.45767,1.63169,6.70588235294118,25.4545454545455,4,0,1,2,1.0895,"l","2025-05-11 10:30:00",0,0,1,0,-0.17402,"Serie_A","2024","Udinese"
"a",0.358909,2.61362,0.358909,2.61362,15.0588235294118,6.47619047619048,3,12,0,2,0.1582,"l","2025-05-18 18:45:00",0,0,1,0,-2.254711,"Serie_A","2024","Udinese"
"h",1.61711,3.06465,1.61711,3.06465,12.9090909090909,12.1428571428571,3,5,2,3,0.5124,"l","2025-05-25 18:45:00",0,0,1,0,-1.44754,"Serie_A","2024","Udinese"
"h",2.31286,2.00656,1.40418,2.00656,18.7333333333333,7.55555555555556,2,7,2,2,1.6357,"d","2024-08-17 16:30:00",0,1,0,1,-0.60238,"Serie_A","2024","Genoa"
"a",0.660299,0.401371,0.660299,0.401371,15.9166666666667,18,2,5,1,0,1.5867,"w","2024-08-24 18:45:00",1,0,0,3,0.258928,"Serie_A","2024","Genoa"
"h",1.34735,2.09653,1.34735,1.33524,12.3571428571429,13.6190476190476,4,3,0,2,0.7913,"l","2024-09-01 16:30:00",0,0,1,0,0.0121100000000001,"Serie_A","2024","Genoa"
"h",1.59603,2.65805,1.59603,2.65805,8.57142857142857,16.4615384615385,4,10,1,1,0.7284,"d","2024-09-15 10:30:00",0,1,0,1,-1.06202,"Serie_A","2024","Genoa"
"a",0.388857,2.33503,0.388857,1.57373,8.20833333333333,13.3888888888889,2,9,0,2,0.1533,"l","2024-09-21 13:00:00",0,0,1,0,-1.184873,"Serie_A","2024","Genoa"
"h",0.385259,2.91803,0.385259,2.15673,20.4736842105263,9.42857142857143,3,8,0,3,0.0766,"l","2024-09-28 16:00:00",0,0,1,0,-1.771471,"Serie_A","2024","Genoa"
"a",0.543171,4.0137,0.543171,3.2524,15.6111111111111,11.6842105263158,3,18,1,5,0.0394,"l","2024-10-05 16:00:00",0,0,1,0,-2.709229,"Serie_A","2024","Genoa"
"h",0.450285,1.15682,0.450285,1.15682,9.78571428571429,10.2307692307692,4,5,2,2,0.6214,"d","2024-10-19 13:00:00",0,1,0,1,-0.706535,"Serie_A","2024","Genoa"
"a",0.261739,2.9799,0.261739,2.9799,24.8571428571429,8.46153846153846,2,9,0,3,0.0584,"l","2024-10-27 14:00:00",0,0,1,0,-2.718161,"Serie_A","2024","Genoa"
"h",0.848655,0.909048,0.848655,0.909048,13.6818181818182,14,5,8,0,1,1.2398,"l","2024-10-31 17:30:00",0,0,1,0,-0.0603929999999999,"Serie_A","2024","Genoa"
"a",1.15243,0.883705,1.15243,0.883705,8.88461538461539,17,5,5,1,0,1.6051,"w","2024-11-04 17:30:00",1,0,0,3,0.268725,"Serie_A","2024","Genoa"
"h",1.03893,1.37361,1.03893,1.37361,9.74074074074074,9.9375,2,9,1,1,1.0933,"d","2024-11-07 20:00:00",0,1,0,1,-0.33468,"Serie_A","2024","Genoa"
"h",2.1978,2.81223,2.1978,1.28964,10.8636363636364,16.1764705882353,6,6,2,2,0.9692,"d","2024-11-24 11:30:00",0,1,0,1,0.90816,"Serie_A","2024","Genoa"
"a",1.7171,0.156386,1.7171,0.156386,7.26470588235294,17.5294117647059,6,4,2,0,2.651,"w","2024-12-01 11:30:00",1,0,0,3,1.560714,"Serie_A","2024","Genoa"
"h",0.327249,0.70601,0.327249,0.70601,11.3333333333333,9.66666666666667,4,9,0,0,0.8711,"d","2024-12-07 14:00:00",0,1,0,1,-0.378761,"Serie_A","2024","Genoa"
"a",0.204497,1.28243,0.204497,1.28243,11.9230769230769,11.5217391304348,6,10,0,0,0.4195,"d","2024-12-15 19:45:00",0,1,0,1,-1.077933,"Serie_A","2024","Genoa"
"h",0.707336,1.42377,0.707336,1.42377,14.7037037037037,13.4117647058824,4,3,1,2,0.728,"l","2024-12-21 17:00:00",0,0,1,0,-0.716434,"Serie_A","2024","Genoa"
"a",2.01725,1.42691,2.01725,0.665612,10.84,6.8,4,8,2,1,1.841,"w","2024-12-28 14:00:00",1,0,0,3,1.351638,"Serie_A","2024","Genoa"
"a",1.06752,0.545634,1.06752,0.545634,11.9615384615385,5.83870967741935,1,9,0,0,2.0733,"d","2025-01-05 14:00:00",0,1,0,1,0.521886,"Serie_A","2024","Genoa"
"h",1.51628,0.513393,1.51628,0.513393,6.76923076923077,15,7,3,1,0,2.2115,"w","2025-01-12 11:30:00",1,0,0,3,1.002887,"Serie_A","2024","Genoa"
"a",0.494153,1.79725,0.494153,1.79725,21.5,14.4782608695652,3,6,1,3,0.2902,"l","2025-01-17 19:45:00",0,0,1,0,-1.303097,"Serie_A","2024","Genoa"
"h",3.31745,0.311849,2.55615,0.311849,6.14285714285714,9.9375,3,2,2,0,2.9128,"w","2025-01-27 19:45:00",1,0,0,3,2.244301,"Serie_A","2024","Genoa"
"a",1.96523,0.695448,1.96523,0.695448,11.2857142857143,9.52,8,4,1,2,2.3212,"l","2025-02-02 14:00:00",0,0,1,0,1.269782,"Serie_A","2024","Genoa"
"a",0.308682,0.647236,0.308682,0.647236,12.3913043478261,10.0434782608696,2,9,1,1,0.8988,"d","2025-02-08 17:00:00",0,1,0,1,-0.338554,"Serie_A","2024","Genoa"
"h",1.60036,0.341183,1.60036,0.341183,4.55555555555556,6.64285714285714,5,1,2,0,2.4232,"w","2025-02-17 19:45:00",1,0,0,3,1.259177,"Serie_A","2024","Genoa"
"a",1.51356,1.3989,1.51356,1.3989,13.5833333333333,12.875,5,14,0,1,1.4915,"l","2025-02-22 19:45:00",0,0,1,0,0.11466,"Serie_A","2024","Genoa"
"h",0.229571,1.00977,0.229571,1.00977,6.13333333333333,8.31034482758621,2,8,1,1,0.4817,"d","2025-03-02 14:00:00",0,1,0,1,-0.780199,"Serie_A","2024","Genoa"
"a",1.43054,0.809829,1.43054,0.809829,7.48,14.4117647058824,3,3,1,1,1.9078,"d","2025-03-07 19:45:00",0,1,0,1,0.620711,"Serie_A","2024","Genoa"
"h",1.06034,1.20452,1.06034,0.443225,10.9583333333333,9.05,4,3,2,1,1.1649,"w","2025-03-14 19:45:00",1,0,0,3,0.617115,"Serie_A","2024","Genoa"
"a",0.263169,1.50908,0.263169,1.50908,7.59375,8.86666666666667,1,4,0,1,0.3334,"l","2025-03-29 17:00:00",0,0,1,0,-1.245911,"Serie_A","2024","Genoa"
"h",1.65486,1.11114,1.65486,1.11114,8.0625,9.89285714285714,5,5,1,0,1.7991,"w","2025-04-04 18:45:00",1,0,0,3,0.54372,"Serie_A","2024","Genoa"
"a",0.111761,1.00077,0.111761,1.00077,11.1333333333333,7.65714285714286,2,3,0,0,0.4478,"d","2025-04-13 13:00:00",0,1,0,1,-0.889009,"Serie_A","2024","Genoa"
"h",0.470637,1.33679,0.470637,1.33679,17.5625,12.1333333333333,5,11,0,2,0.6414,"l","2025-04-23 16:30:00",0,0,1,0,-0.866153,"Serie_A","2024","Genoa"
"a",1.04585,1.80373,1.04585,1.80373,8.76,9.17241379310345,0,7,0,1,0.7883,"l","2025-04-27 10:30:00",0,0,1,0,-0.75788,"Serie_A","2024","Genoa"
"h",0.54789,1.29954,0.54789,1.29954,11.5,14.1538461538462,2,5,1,2,0.6473,"l","2025-05-05 18:45:00",0,0,1,0,-0.75165,"Serie_A","2024","Genoa"
"a",0.648382,2.35243,0.648382,2.35243,14.16,9.30434782608696,1,7,2,2,0.3212,"d","2025-05-11 18:45:00",0,1,0,1,-1.704048,"Serie_A","2024","Genoa"
"h",1.44057,1.56926,1.44057,1.56926,9.66666666666667,10.75,0,8,2,3,1.2724,"l","2025-05-18 13:00:00",0,0,1,0,-0.12869,"Serie_A","2024","Genoa"
"a",1.17343,0.628377,1.17343,0.628377,7.96,5.66666666666667,2,9,3,1,1.9279,"w","2025-05-24 16:00:00",1,0,0,3,0.545053,"Serie_A","2024","Genoa"
"a",0.975176,1.80536,0.975176,1.80536,6.22727272727273,15.3333333333333,6,4,0,3,0.6789,"l","2024-08-18 16:30:00",0,0,1,0,-0.830184,"Serie_A","2024","Napoli"
"h",2.07052,0.544518,2.07052,0.544518,19.125,6.03125,12,1,3,0,2.5016,"w","2024-08-25 18:45:00",1,0,0,3,1.526002,"Serie_A","2024","Napoli"
"h",2.33511,1.90229,2.33511,1.14099,13.2631578947368,21.8571428571429,13,6,2,1,1.6257,"w","2024-08-31 18:45:00",1,0,0,3,1.19412,"Serie_A","2024","Napoli"
"a",1.42805,0.881581,1.42805,0.881581,10.6666666666667,8.88,8,3,4,0,1.8297,"w","2024-09-15 16:00:00",1,0,0,3,0.546469,"Serie_A","2024","Napoli"
"a",0.233773,0.419301,0.233773,0.419301,16.0714285714286,8.90909090909091,1,5,0,0,0.9963,"d","2024-09-21 16:00:00",0,1,0,1,-0.185528,"Serie_A","2024","Napoli"
"h",1.35886,0.298287,1.35886,0.298287,12.8846153846154,30.7,8,0,2,0,2.3403,"w","2024-09-29 18:45:00",1,0,0,3,1.060573,"Serie_A","2024","Napoli"
"h",1.91407,0.638474,1.15277,0.638474,17.75,14.8,3,5,3,1,2.4026,"w","2024-10-04 16:30:00",1,0,0,3,0.514296,"Serie_A","2024","Napoli"
"a",1.31758,1.00465,0.556286,1.00465,11.8095238095238,10.8333333333333,5,8,1,0,1.653,"w","2024-10-20 10:30:00",1,0,0,3,-0.448364,"Serie_A","2024","Napoli"
"h",2.53236,0.57038,2.53236,0.57038,6.95238095238095,15.9333333333333,11,2,1,0,2.7295,"w","2024-10-26 13:00:00",1,0,0,3,1.96198,"Serie_A","2024","Napoli"
"a",0.956912,0.568256,0.956912,0.568256,18.4117647058824,7.12903225806452,6,4,2,0,1.7002,"w","2024-10-29 19:45:00",1,0,0,3,0.388656,"Serie_A","2024","Napoli"
"h",0.611112,1.50982,0.611112,1.50982,12.6153846153846,15.6666666666667,10,5,0,3,0.6386,"l","2024-11-03 11:30:00",0,0,1,0,-0.898708,"Serie_A","2024","Napoli"
"a",1.00611,1.47373,1.00611,0.712432,16.4117647058824,6.77142857142857,2,5,1,1,0.889,"d","2024-11-10 19:45:00",0,1,0,1,0.293678,"Serie_A","2024","Napoli"
"h",2.02389,0.592582,2.02389,0.592582,11.1764705882353,14.4285714285714,5,5,1,0,2.5461,"w","2024-11-24 17:00:00",1,0,0,3,1.431308,"Serie_A","2024","Napoli"
"a",1.64196,0.442989,1.64196,0.442989,21.8181818181818,12.3461538461538,6,6,1,0,2.327,"w","2024-12-01 14:00:00",1,0,0,3,1.198971,"Serie_A","2024","Napoli"
"h",1.14465,0.243674,1.14465,0.243674,8.61290322580645,20.8125,8,2,0,1,2.2204,"l","2024-12-08 19:45:00",0,0,1,0,0.900976,"Serie_A","2024","Napoli"
"a",1.96425,1.48544,1.96425,0.594396,5.90909090909091,15.8,6,0,3,1,1.6884,"w","2024-12-14 17:00:00",1,0,0,3,1.369854,"Serie_A","2024","Napoli"
"a",1.42377,0.707336,1.42377,0.707336,13.4117647058824,14.7037037037037,3,4,2,1,2.0096,"w","2024-12-21 17:00:00",1,0,0,3,0.716434,"Serie_A","2024","Napoli"
"h",2.55505,0.462133,1.79375,0.462133,6.55,12.3461538461538,13,5,1,0,2.7556,"w","2024-12-29 14:00:00",1,0,0,3,1.331617,"Serie_A","2024","Napoli"
"a",1.59728,0.877617,0.835982,0.877617,9.23809523809524,9.03333333333333,4,8,3,0,1.989,"w","2025-01-04 17:00:00",1,0,0,3,-0.041635,"Serie_A","2024","Napoli"
"h",1.59033,0.23211,1.59033,0.23211,8.04545454545454,50.375,13,3,2,0,2.551,"w","2025-01-12 19:45:00",1,0,0,3,1.35822,"Serie_A","2024","Napoli"
"a",1.2536,0.709505,1.2536,0.709505,14.5,7.38888888888889,2,4,3,2,1.887,"w","2025-01-18 19:45:00",1,0,0,3,0.544095,"Serie_A","2024","Napoli"
"h",2.33562,1.02538,1.57432,1.02538,14.5,9.96,7,5,2,1,2.3493,"w","2025-01-25 17:00:00",1,0,0,3,0.54894,"Serie_A","2024","Napoli"
"a",0.384749,0.364702,0.384749,0.364702,19.2666666666667,20.9285714285714,4,7,1,1,1.2611,"d","2025-02-02 19:45:00",0,1,0,1,0.020047,"Serie_A","2024","Napoli"
"h",2.07882,1.28733,2.07882,1.28733,12.8571428571429,33.6,6,5,1,1,1.9673,"d","2025-02-09 19:45:00",0,1,0,1,0.79149,"Serie_A","2024","Napoli"
"a",0.558588,0.883377,0.558588,0.883377,7.67647058823529,16.1764705882353,7,7,2,2,0.986,"d","2025-02-15 17:00:00",0,1,0,1,-0.324789,"Serie_A","2024","Napoli"
"a",1.10277,0.466603,1.10277,0.466603,7.73913043478261,10.6666666666667,3,7,1,2,1.9218,"l","2025-02-23 11:30:00",0,0,1,0,0.636167,"Serie_A","2024","Napoli"
"h",1.72874,0.452597,1.72874,0.452597,19.2727272727273,16.5882352941176,17,4,1,1,2.4508,"d","2025-03-01 17:00:00",0,1,0,1,1.276143,"Serie_A","2024","Napoli"
"h",2.93764,1.05617,2.93764,1.05617,14.5,23.75,16,4,2,1,2.5469,"w","2025-03-09 14:00:00",1,0,0,3,1.88147,"Serie_A","2024","Napoli"
"a",1.2665,1.04696,1.2665,1.04696,7.3125,8.7037037037037,6,9,0,0,1.5031,"d","2025-03-16 11:30:00",0,1,0,1,0.21954,"Serie_A","2024","Napoli"
"h",0.945094,2.25619,0.945094,1.49489,16.0666666666667,21.8,6,8,2,1,0.4607,"w","2025-03-30 19:45:00",1,0,0,3,-0.549796,"Serie_A","2024","Napoli"
"a",0.99857,1.11047,0.99857,1.11047,11.4,6.91304347826087,4,5,1,1,1.243,"d","2025-04-07 18:45:00",0,1,0,1,-0.1119,"Serie_A","2024","Napoli"
"h",2.13717,1.37277,2.13717,1.37277,11,12.9,9,6,3,0,1.8957,"w","2025-04-14 18:45:00",1,0,0,3,0.7644,"Serie_A","2024","Napoli"
"a",1.66648,0.874819,1.66648,0.874819,11.3157894736842,17.2352941176471,7,2,1,0,1.9853,"w","2025-04-19 16:00:00",1,0,0,3,0.791661,"Serie_A","2024","Napoli"
"h",1.23274,0.660531,1.23274,0.660531,11.3684210526316,23.4,6,6,2,0,1.8915,"w","2025-04-27 18:45:00",1,0,0,3,0.572209,"Serie_A","2024","Napoli"
"a",0.845058,0.276702,0.845058,0.276702,16.4166666666667,28.0833333333333,3,4,1,0,1.9195,"w","2025-05-03 16:00:00",1,0,0,3,0.568356,"Serie_A","2024","Napoli"
"h",2.35243,0.648382,2.35243,0.648382,9.30434782608696,14.16,7,1,2,2,2.5346,"d","2025-05-11 18:45:00",0,1,0,1,1.704048,"Serie_A","2024","Napoli"
"a",0.379711,0.296751,0.379711,0.296751,4.80952380952381,20.4117647058824,4,1,0,0,1.3138,"d","2025-05-18 18:45:00",0,1,0,1,0.08296,"Serie_A","2024","Napoli"
"h",2.16118,0.0969696,2.16118,0.0969696,10.8235294117647,25.375,7,1,2,0,2.786,"w","2025-05-23 18:45:00",1,0,0,3,2.0642104,"Serie_A","2024","Napoli"
"a",2.00656,2.31286,2.00656,1.40418,7.55555555555556,18.7333333333333,7,2,2,2,1.0954,"d","2024-08-17 16:30:00",0,1,0,1,0.60238,"Serie_A","2024","Inter"
"h",2.48059,0.335346,1.71929,0.335346,11.35,28.0769230769231,12,4,2,0,2.806,"w","2024-08-24 18:45:00",1,0,0,3,1.383944,"Serie_A","2024","Inter"
"h",2.28876,1.17772,2.28876,1.17772,15.2307692307692,16.5,9,13,4,0,2.2084,"w","2024-08-30 18:45:00",1,0,0,3,1.11104,"Serie_A","2024","Inter"
"a",1.8081,0.217777,1.8081,0.217777,6.94117647058824,31.6,5,1,1,1,2.6096,"d","2024-09-15 18:45:00",0,1,0,1,1.590323,"Serie_A","2024","Inter"
"h",0.941382,2.75751,0.941382,2.75751,11,37,6,8,1,2,0.3627,"l","2024-09-22 18:45:00",0,0,1,0,-1.816128,"Serie_A","2024","Inter"
"a",2.30465,0.984798,2.30465,0.984798,14.7647058823529,18.9047619047619,9,4,3,2,2.2753,"w","2024-09-28 13:00:00",1,0,0,3,1.319852,"Serie_A","2024","Inter"
"h",3.44641,1.29026,3.44641,0.528958,4.84210526315789,53.5,11,1,3,2,2.6386,"w","2024-10-05 18:45:00",1,0,0,3,2.917452,"Serie_A","2024","Inter"
"a",0.796917,0.78742,0.796917,0.78742,15.2631578947368,13.6842105263158,5,9,1,0,1.313,"w","2024-10-20 18:45:00",1,0,0,3,0.00949699999999998,"Serie_A","2024","Inter"
"h",2.82542,2.36179,1.30283,2.36179,21.2307692307692,16.2666666666667,10,7,4,4,1.7107,"d","2024-10-27 17:00:00",0,1,0,1,-1.05896,"Serie_A","2024","Inter"
"a",1.68832,0.319674,1.68832,0.319674,5.27272727272727,31.25,14,0,3,0,2.4617,"w","2024-10-30 17:30:00",1,0,0,3,1.368646,"Serie_A","2024","Inter"
"h",3.34539,1.14021,3.34539,1.14021,11.05,16.5625,10,1,1,0,2.6661,"w","2024-11-03 19:45:00",1,0,0,3,2.20518,"Serie_A","2024","Inter"
"h",1.47373,1.00611,0.712432,1.00611,6.77142857142857,16.4117647058824,5,2,1,1,1.7458,"d","2024-11-10 19:45:00",0,1,0,1,-0.293678,"Serie_A","2024","Inter"
"a",2.79774,0.554633,2.79774,0.554633,14.6,32.8235294117647,10,2,5,0,2.7727,"w","2024-11-23 14:00:00",1,0,0,3,2.243107,"Serie_A","2024","Inter"
"h",3.0797,0.274097,3.0797,0.274097,17.4285714285714,36.1111111111111,13,1,3,1,2.8867,"w","2024-12-06 17:30:00",1,0,0,3,2.805603,"Serie_A","2024","Inter"
"a",2.33306,0.634641,1.57176,0.634641,12.8571428571429,14.5652173913043,6,2,6,0,2.6078,"w","2024-12-16 19:45:00",1,0,0,3,0.937119,"Serie_A","2024","Inter"
"h",1.89916,0.367536,1.89916,0.367536,6,18.3684210526316,10,6,2,0,2.4933,"w","2024-12-23 19:45:00",1,0,0,3,1.531624,"Serie_A","2024","Inter"
"a",3.1724,0.302293,2.4111,0.302293,13.75,33.7272727272727,9,1,3,0,2.9196,"w","2024-12-28 17:00:00",1,0,0,3,2.108807,"Serie_A","2024","Inter"
"a",2.35271,0.668042,2.35271,0.668042,10.6190476190476,24.6428571428571,9,3,1,0,2.5224,"w","2025-01-12 14:00:00",1,0,0,3,1.684668,"Serie_A","2024","Inter"
"h",1.79382,0.914393,1.79382,0.914393,11.2380952380952,9.57692307692308,8,5,2,2,2.178,"d","2025-01-15 19:45:00",0,1,0,1,0.879427,"Serie_A","2024","Inter"
"h",1.6401,0.412045,1.6401,0.412045,6.5,28.6428571428571,18,2,3,1,2.3845,"w","2025-01-19 19:45:00",1,0,0,3,1.228055,"Serie_A","2024","Inter"
"a",2.58246,0.719003,1.82116,0.719003,14.3,9.27777777777778,6,1,4,0,2.6319,"w","2025-01-26 17:00:00",1,0,0,3,1.102157,"Serie_A","2024","Inter"
"a",1.98309,1.04439,1.98309,1.04439,10.6315789473684,15.8695652173913,11,4,1,1,2.0901,"d","2025-02-02 17:00:00",0,1,0,1,0.9387,"Serie_A","2024","Inter"
"a",0.589261,1.05274,0.589261,1.05274,7.94444444444444,22.9333333333333,10,1,0,3,0.8849,"l","2025-02-06 19:30:00",0,0,1,0,-0.463479,"Serie_A","2024","Inter"
"h",1.87526,1.03291,1.87526,0.271614,7.88461538461539,19.9166666666667,9,3,2,1,2.0139,"w","2025-02-10 19:45:00",1,0,0,3,1.603646,"Serie_A","2024","Inter"
"a",2.08504,1.3662,2.08504,1.3662,7.30769230769231,11.9259259259259,3,6,0,1,1.9193,"l","2025-02-16 19:45:00",0,0,1,0,0.71884,"Serie_A","2024","Inter"
"h",1.3989,1.51356,1.3989,1.51356,12.875,13.5833333333333,14,5,1,0,1.2314,"w","2025-02-22 19:45:00",1,0,0,3,-0.11466,"Serie_A","2024","Inter"
"a",0.452597,1.72874,0.452597,1.72874,16.5882352941176,19.2727272727273,4,17,1,1,0.3643,"d","2025-03-01 17:00:00",0,1,0,1,-1.276143,"Serie_A","2024","Inter"
"h",3.0629,0.779109,3.0629,0.779109,6.48275862068965,21.8333333333333,24,0,3,2,2.7137,"w","2025-03-08 19:45:00",1,0,0,3,2.283791,"Serie_A","2024","Inter"
"a",2.28143,0.682065,2.28143,0.682065,10.304347826087,12.3636363636364,9,7,2,0,2.4745,"w","2025-03-16 19:45:00",1,0,0,3,1.599365,"Serie_A","2024","Inter"
"h",2.33787,1.3398,2.33787,1.3398,13.7333333333333,19.3888888888889,12,0,2,1,2.1249,"w","2025-03-30 17:00:00",1,0,0,3,0.99807,"Serie_A","2024","Inter"
"a",2.17944,1.66115,2.17944,1.66115,20.1666666666667,29.6153846153846,6,4,2,2,1.7319,"d","2025-04-05 16:00:00",0,1,0,1,0.51829,"Serie_A","2024","Inter"
"h",1.71603,0.914283,1.71603,0.914283,12.6470588235294,23.2105263157895,8,6,3,1,1.9932,"w","2025-04-12 16:00:00",1,0,0,3,0.801747,"Serie_A","2024","Inter"
"a",0.661137,1.0878,0.661137,1.0878,5.6,13.6875,3,6,0,1,0.939,"l","2025-04-20 16:00:00",0,0,1,0,-0.426663,"Serie_A","2024","Inter"
"h",1.10299,2.79826,1.10299,2.79826,7.4,19.6666666666667,14,8,0,1,0.3846,"l","2025-04-27 13:00:00",0,0,1,0,-1.69527,"Serie_A","2024","Inter"
"h",1.59903,0.303341,0.837733,0.303341,22.75,27.5882352941176,13,5,1,0,2.5425,"w","2025-05-03 18:45:00",1,0,0,3,0.534392,"Serie_A","2024","Inter"
"a",2.48918,1.76692,1.72788,1.76692,13.1666666666667,17.6190476190476,7,6,2,0,1.9428,"w","2025-05-11 16:00:00",1,0,0,3,-0.03904,"Serie_A","2024","Inter"
"h",1.59363,2.33497,1.59363,1.57367,15.6666666666667,22.0714285714286,7,4,2,2,0.8412,"d","2025-05-18 18:45:00",0,1,0,1,0.0199600000000002,"Serie_A","2024","Inter"
"a",2.27789,1.49032,2.27789,1.49032,13.1052631578947,32.2,8,8,2,0,1.9391,"w","2025-05-23 18:45:00",1,0,0,3,0.78757,"Serie_A","2024","Inter"
"a",2.45909,1.88414,1.69779,1.88414,9.36,15.3333333333333,4,6,4,0,1.7961,"w","2024-08-19 16:30:00",1,0,0,3,-0.18635,"Serie_A","2024","Atalanta"
"a",3.08667,2.49919,2.32537,2.49919,10.5,16,11,5,1,2,1.7514,"l","2024-08-25 16:30:00",0,0,1,0,-0.17382,"Serie_A","2024","Atalanta"
"a",1.17772,2.28876,1.17772,2.28876,16.5,15.2307692307692,13,9,0,4,0.5824,"l","2024-08-30 18:45:00",0,0,1,0,-1.11104,"Serie_A","2024","Atalanta"
"h",2.4507,1.96392,2.4507,1.96392,9.36,12.45,1,4,3,2,1.7109,"w","2024-09-15 13:00:00",1,0,0,3,0.48678,"Serie_A","2024","Atalanta"
"h",1.31694,0.579703,0.555641,0.579703,10.0869565217391,9.5,5,3,2,3,2.1162,"l","2024-09-24 18:45:00",0,0,1,0,-0.0240619999999999,"Serie_A","2024","Atalanta"
"a",2.47751,0.176428,2.47751,0.176428,7.66666666666667,13.7894736842105,20,2,1,1,2.8444,"d","2024-09-28 18:45:00",0,1,0,1,2.301082,"Serie_A","2024","Atalanta"
